title,mantra
Karika Upanishad,दक्षिणाक्षिमुखे विश्वो मनस्यन्तस्तु तैजसः ।आकाशे च हृदि प्राज्ञस्त्रिधा देहे व्यवस्थितः ।। 1.1.2 ।।
Taittiriya Upanishad, शीक्षां व्याख्यास्यामः। वर्णः स्वरः। मात्रा बलम्। सामः संतानः। इत्युक्तः शीक्षाध्यायः।।1.2.1।।(शीक्षां पञ्च)
Aitereya Upanishad,स ईक्षतेमे नु लोकाः लोकपालान्नु सृजा इति। सोऽद्भ्य एव पुरूषं समुद्धृत्यामूर्च्छयत्।।1.1.3।।
Isavasya Upanishad,"असुर्या नाम ते लोका अन्धेन तमसाऽऽवृताः ।,ता्ँस्ते प्रेत्याभिगच्छन्ति ये के चात्महनो जनाः ।। 1.1.3 ।।"
Brihadaranyaka Upanishad,स एष रसानाँ् रसतमः परमः परार्ध्योऽष्टमो  यदुद्गीथः ।। 1.1.3 ।। 
Mandukya Upanishad,जागरितस्थानो बहिष्प्रज्ञः सप्ताङ्ग एकोनविंशतिमुखः स्थूलभुग्वैश्वानरः प्रथमः पादः ।। 1.1.3 ।।
Kena Upanishad,न तत्र चक्षुर्गच्छति न वाग्गच्छति नो मनो न विद्मो न विजानीमो यथैतदनुशिष्यात् ।। 1.1.3 ।। 
Mundaka Upanishad,शौनको ह वै महाशालोऽङ्गिरसं विधिवदुपसन्नः पप्रच्छ। कस्मिन्नु भगवो विज्ञाते सर्वमिदं विज्ञातं भवतीति।।1.1.3।।
Prasna Upanishad,अथ कबन्धी कात्यायन उपेत्य पप्रच्छ। भगवन्कुतो ह वा इमाः प्रजाः प्रजायन्त इति।।1.1.3।।
Katha Upanishad,"पीतोदका जग्धतृणा दुग्धदोहा निरिन्द्रियाः ।,अनन्दा नाम ते लोकास्तान् स गच्छति ता ददत् ।। 1.1.3 ।।"
Svetashvatra Upanishad,"ते ध्यानयोगानुगता अपश्यन्देवात्मशक्तिं स्वगुणैर्निगूढाम्।,यः कारणानि निखिलानि तानि कालात्मयुक्तान्यधितिष्ठत्येकः।।1.1.3।।"
Karika Upanishad,विश्वो हि स्थूलभुङ् नित्यं तैजसः प्रविविक्तभुक् ।आनन्दभुक्तथा प्राज्ञस्त्रिधा भोगं निबोधत ।। 1.1.3 ।।
Taittiriya Upanishad,"सह नौ यशः। सह नौ ब्रह्मवर्चसम्। अथातः स्ँहिताया उपनिषदं व्याख्यास्यामः। पञ्चस्वधिकरणेषु। अधिलोकमधिज्यौतिषमधिविद्यमधिप्रजमध्यात्मम्। ता , महास्ँहिता , इत्याचक्षते।।1.3.1।।"
Aitereya Upanishad,तमभ्यतपत्तस्याभितप्तस्य मुखं निरभिद्यत यथाऽण्डम्। मुखाद्वाग्वाचोऽग्निर्नासिके निरभिद्येतां नासिकाभ्यां प्राणः प्राणाद्वायुरक्षिणी निरभिद्येतामक्षीभ्यां चक्षुश्चक्षुष आदित्यः कर्णौ निरभिद्येतां कर्णाभ्यां श्रोत्रं श्रोत्राद्दिशस्त्वङनिरभिद्यत त्वचो लोमानि लोमभ्य ओषधि वनस्पतयो हृदयं निरभिद्यत हृदयान्मनो मनसश्चन्द्रमा नाभिर्निरभिद्यत नाभ्या अपानोऽपानान्मृत्युः शिश्नं निरभिद्यत शिश्नाद्रेतो रेतस आपः।।1.1.4।।
Brihadaranyaka Upanishad,कतमा कतमर्क्कतमत्कतमत्साम कतमः कतम उद्गीथ इति विमृष्टं भवति ।। 1.1.4 ।। 
Isavasya Upanishad,"अनेजदेकं मनसो जवीयो नैनद्देवा आप्नुवन्पूर्वमर्षत् ।,तद्धावतोऽन्यानत्येति तिष्ठत्तस्मिन्नपो मातरिश्वा दधाति ।। 1.1.4 ।।"
Mandukya Upanishad,स्वप्नस्थानोऽन्तःप्रज्ञः सप्ताङ्ग एकोनविंशतिमुखः प्रविविक्तभुक्तैजसो द्वितीयः पादः ।। 1.1.4 ।। 
Kena Upanishad,अन्यदेव तद्विदितादथो अविदितादधि । इति शुश्रुम पूर्वेषां ये नस्तद्व्याचचक्षिरे ।। 1.1.4 ।।
Prasna Upanishad,तस्मै स होवाच प्रजाकामो वै प्रजापतिः स तपोऽतप्यत स तपस्तप्त्वा स मिथुनमुत्पादयते। रयिं च प्राणं चेत्यैतौ मे बहुधा प्रजाः करिष्यत इति।।1.1.4।।
Mundaka Upanishad,तस्मै स होवाच। द्वे विद्ये वेदितव्ये इति ह स्म यद्ब्रह्मविदो वदन्ति परा चैवापरा च।।1.1.4।।
Katha Upanishad,"स होवाच पितरं तात कस्मै मां दास्यसीति ।,द्वितीयं तृतीयं त्ँहोवाच मृत्यवे त्वा ददामीति ।। 1.1.4 ।।"
Svetashvatra Upanishad,"तमेकनेमिं त्रिवृतं षोडशान्तं शतार्धारं विंशतिप्रत्यराभिः।,अष्टकैः ष़ड्भिर्विश्वरूपैकपाशं त्रिमार्गभेदं द्विनिमित्तैकमोहम्।।1.1.4।।"
Brihadaranyaka Upanishad,वागेवर्क्प्राणः सामोमित्येतदक्षरमुद्गीथः ।  तद्वा एतन्मिथुनं यद्वाक्च प्राणश्चर्क्च साम च ।। 1.1.5 ।। 
Aitereya Upanishad,ता एता देवताः सृष्टा अस्मिन्महत्यर्णवे प्रापतंस्तमशनापिपासाभ्यामन्ववार्जत्। ता एनमब्रुवन्नायतनं नः प्रजानीहि यस्मिन्प्रतिष्ठिता अन्नमदामेति।।1.2.1।।
Karika Upanishad,स्थूलं तर्पयते विश्वं प्रविविक्तं तु तैजसम् ।आनन्दश्च तथा प्राज्ञं त्रिधा तृप्तिं निबोधत ।। 1.1.4 ।।
Isavasya Upanishad,"तदेजति तन्नैजति तद्दूरे तद्वन्तिके ।,तदन्तरस्य सर्वस्य तदु सर्वस्यास्य बाह्यतः ।। 1.1.5 ।।"
Taittiriya Upanishad,अथाधिलोकम्। पृथिवी पूर्वरूपम्। द्यौरुत्तररूपम्। आकाशः सन्धिः। वायुः सन्धानम्। इत्यधिलोकम्।।13.2।।
Mandukya Upanishad,यत्र सुप्तो न कंचन कामं कामयते न कंचन स्वप्नं पश्यति तत्सुषुप्तम्। सुषुप्तस्थान एकीभूतः प्रज्ञानघन एवानन्दमयो ह्यानन्दभुक्चेतोमुखः प्राज्ञस्तृतीयः पादः ।। 1.1.5 ।। 
Kena Upanishad,"यद्वाचाऽनभ्युदितं येन वागभ्युद्यते ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.5 ।।"
Katha Upanishad,"बहूनामेमि प्रथमो बहूनामेमि मध्यमः ।,कि्ँस्विद्यमस्य कर्तव्यं यन्मयाऽद्य करिष्यति ।। 1.1.5 ।।"
Prasna Upanishad,आदित्यो ह वै प्राणो रयिरेव चन्द्रमा रयिर्वा एतत्सर्वं यन्मूर्तं चामूर्तं च तस्मान्मूर्तिरेव रयिः।।1.1.5।। 
Mundaka Upanishad,तत्रापरा ऋग्वेदो यजुर्वेदः समावेदोऽथर्ववेदः शिक्षा कल्पो व्याकरणं निरूक्तं छन्दो ज्योतिषमिति। अथ परा यया तदक्षरमधिगम्यते।।1.1.5।।
Svetashvatra Upanishad,"पञ्चस्रोतोम्बुं पञ्चयोन्युग्रवक्रां पञ्चप्राणोर्मिं , पञ्चबुद्धयादिमूलाम्।,पञ्चावर्तां पञ्चदुःखौघवेगां पञ्चशद्भेदां पञ्चपर्वामधीमः।।1.1.5।।"
Aitereya Upanishad,ताभ्यो गामानयत्ता अब्रुवन्न वै नोऽयमलमिति। ताभ्योऽश्वमानयत्ता अब्रुवन्न वै नोऽयमलमिति।।1.2.2।।
Taittiriya Upanishad,अथाधिज्यौतिषम्। अग्निः पूर्वरूपम्। आदित्य उत्तररूपम् आपः सन्धिः। वैद्युतः सन्धानम्। इत्यधिज्यौतिषम्।।1.3.3।।
Brihadaranyaka Upanishad,"तदेतन्मिथुनमोमित्येतस्मिन्नक्षरे , स , सृज्यते   यदा वै मिथुनौ समागच्छत आपयतो वै तावन्योन्यस्य कामम् ।। 1.1.6 ।।"
Karika Upanishad,त्रिषु धामसु यद्भोज्यं भोक्ता यश्च प्रकीर्तितः ।वेदैतदुभयं यस्तु स भुञ्जानो न लिप्यते ।। 1.1.5 ।।
Katha Upanishad,"अनुपश्य यथा पूर्वे प्रतिपश्य तथाऽपरे ।,सस्यमिव मर्त्यः पच्यते सस्यमिवाऽऽजायते पुनः ।। 1.1.6 ।।"
Mandukya Upanishad,एष सर्वेश्वर एष सर्वज्ञ एषोऽन्तर्याम्येष योनिः सर्वस्य प्रभवाप्ययौ हि भूतानाम्।। 1.1.6 ।। 
Isavasya Upanishad,"यस्तु सर्वाणि भूतान्यात्मन्येवानुपश्यति ।,सर्वभूतेषु चात्मानं ततो न विजुगुप्सते ।। 1.1.6 ।।"
Kena Upanishad,"यन्मनसा न मनुते येनाहुर्मनो मतम् ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.6 ।।"
Prasna Upanishad,अथादित्य उदयन्यत्प्राचीं दिशं प्रविशति तेन प्राच्यान्प्राणान्रश्मिषु संनिधत्ते। यद्दक्षिणां यत्प्रतीचीं यदुदीचीं यदधो यदूर्ध्वं यदन्तरा दिशो यत्सर्वं प्रकाशयति तेन सर्वान्प्राणान् रश्मिषु संनिधत्ते।।1.1.6।।
Mundaka Upanishad,यत्तदद्रेश्यमग्राह्यमगोत्रमवर्णमचक्षुःश्रोत्रं तदपाणिपादम्। नित्यं विभुं सर्वगतं सुसूक्ष्मं तदव्ययं यद्भूतयोनिं परिपश्यन्ति धीराः।।1.1.6।।
Svetashvatra Upanishad,"सर्वाजीवे सर्वसंस्थे बृहन्ते अस्मिन्हंसो भ्राम्यते ब्रह्मचक्रे।,पृथगात्मानं प्रेरितारं च मत्वा जुष्टस्ततस्तेनामृतत्वमेति।।1.1.6।।"
Aitereya Upanishad,ताभ्यः पुरूषमानयत्ता अब्रुवन् सुकृतं बतेति पुरूषो वाव सुकृतम्। ता अब्रवीद्यथायतनं प्रविशतेति।।1.2.3।।
Katha Upanishad,"वैश्वानरः प्रविशत्यतिथिर्ब्राह्मणो गृहान् ।,तस्यैता्ँशान्तिं कुर्वन्ति हर वैवस्वतोदकम् ।। 1.1.7 ।।"
Brihadaranyaka Upanishad,आपयिता ह वै कामानां भवति य एतदेवं विद्वानक्षरमुद्गीथमुपास्ते ।। 1.1.7 ।। 
Karika Upanishad,प्रभवः सर्वभावानां सतामिति विनिश्चयः ।सर्वं जनयति प्राणश्चेतोंशून्पुरुषः पृथक ।। 1.1.6 ।।
Isavasya Upanishad,"यस्मिन्सर्वाणि  भूतान्यात्मैवाभूद्विजानतः ।,तत्र को मोहः कः शोकः एकत्वमनुपश्यतः ।। 1.1.7 ।।"
Mandukya Upanishad,नान्तःप्रज्ञं न बहिष्प्रज्ञं नोभयतःप्रज्ञं न प्रज्ञानघनं न प्रज्ञं नाप्रज्ञम्। अदृष्टमव्यवहार्यमग्राह्यमलक्षणमचिन्त्यमव्यपदेश्यमेकात्मप्रत्ययसारं प्रपञ्चोपशमं शान्तं शिवमद्वैतं चतुर्थं मन्यन्ते स आत्मा स विज्ञेयः ।। 1.1.7 ।। 
Kena Upanishad,"यच्चक्षुषा न पश्यति येन चक्षू्ँषि पश्यति ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.7 ।।"
Svetashvatra Upanishad,"उद्गीतमेतत्परमं तु ब्रह्म तस्मिंस्त्रयं सुप्रतिष्ठाक्षरं च।,अत्रान्तरं ब्रह्मविदो विदित्वा लीना ब्रह्मणि तत्पराः योनिमुक्ताः।।1.1.7।।"
Taittiriya Upanishad,अथाधिविद्यम्। आचार्यः पूर्वरूपम्। अन्तेवास्युत्तररूपम्। विद्या सन्धिः। प्रवचन्ँसन्धानम्। इत्यधिविद्यम्।।1.3.4।।
Aitereya Upanishad,अग्निर्वाग्भूत्वा मुखं प्राविशद्वायुः प्राणो भूत्वा नासिके प्राविशदादित्यश्चक्षुर्भूत्वाऽक्षिणी प्राविशद्दिशः क्षोत्रं भूत्वा कर्णौ प्राविशन्नोषधिवनस्पतयो लोमानि भूत्वा त्वचं प्राविशंश्चन्द्रमा मनो भूत्वा हृदयं प्राविशन्मृत्युरपानो भूत्वा नाभिं प्राविशदापो रेतो भूत्वा शिश्नं प्राविशन्।।1.2.4।।
Mundaka Upanishad,यथोर्णनाभिः सृजते गृह्णते च यथा पृथिव्यामोषधयः संभवन्ति। यथा सतः पुरूषात्केशलोमानि तथाक्षरात्संभवतीह विश्वम्।।1.1.7।।
Katha Upanishad,"आशाप्रतीक्षे सङ्गत्ँसूनृतां च इष्टापूर्ते पुत्रपशू्ँश्च सर्वान् ।,एतद्वृङ्क्ते पुरुंषस्याल्पमेधसो यस्यानश्नन्वसति ब्राह्मणो गृहे ।। 1.1.8 ।।"
Brihadaranyaka Upanishad,तद्वा एतदनुज्ञाक्षरं यद्धि किञ्चानुजानात्योमित्येव तदाहैषो एव समृद्धिर्यदनुज्ञा समर्धयिता ह वै कामानां भवति य एतदेवं विद्वानक्षरमुद्गीथमुपास्ते ।। 1.1.8 ।। 
Karika Upanishad,विभूतिं प्रसवं त्वन्ये मन्यन्ते सृष्टिचिन्तकाः ।स्वप्नमायासरूपेति सृष्टिरन्यैर्विकल्पिता ।। 1.1.7 ।।
Isavasya Upanishad,"स पर्यगाच्छुक्रमकायमव्रणमस्नाविरँ् शुद्धमपापविद्धम् ।,कविर्मनीषी परिभूः स्वयंभूर्याथातथ्यतोऽर्थान्व्यदधाच्छाश्वतीभ्यः समाभ्यः ।। 1.1.8 ।।"
Mandukya Upanishad,सोऽयमात्माऽध्यक्षरमोंकारोऽधिमात्रं पादा मात्रा मात्राश्च पादा अकार उकारो मकार इति ।। 1.1.8 ।। 
Kena Upanishad,"यच्छ्रोत्रेण न श्रृणोति येन श्रोत्रमिद्ँ श्रुतम् ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.8 ।।"
Svetashvatra Upanishad,"संयुक्तमेतत्क्षरमक्षरं च व्यक्ताव्यक्तं भरते विश्वमीशः।,अनीशश्चात्मा बध्यते भोक्तृभावाज्ज्ञात्वा देवं मुच्यते सर्वपाशैः।।1.1.8।।"
Prasna Upanishad,स एष वैश्वानरो विश्वरूपः प्राणोऽग्निरुदयते। तदेतदृचाभ्युक्तम्।।1.1.7।।
Taittiriya Upanishad,अथाधिप्रजम्। माता पूर्वरूपम्। पितोत्तररूपम्। प्रजा सन्धिः। प्रजनन्ँसन्धानम्।  इत्यधिप्रजम्।।1.3.5।।
Aitereya Upanishad,तमशनायापिपासे अब्रूतामावाभ्यामभिप्रजानीहीति। ते अब्रवीदेतास्वेव वां देवतास्वाभजाम्येतासु भागिन्यौ करोमीति। तस्माद्यस्यै कस्यै च देवतायै हविर्गृह्यते भागिन्यावेवास्यामशनायापिपासे भवतः।।1.2.5।।
Mundaka Upanishad,तपसा चीयते ब्रह्म ततोऽन्नमभिजायते। अन्नात्प्राणो मनः सत्यं लोकाः कर्मसु चामृतम्।।1.1.8।।
Katha Upanishad,"तिस्रो रात्रीर्यवात्सीर्गृहे मेऽनश्नन् ब्रह्मन्नतिथिर्नमस्यः ।,नमस्तेऽस्तु ब्रह्मन् स्वस्ति मेऽस्तु तस्मात्प्रति त्रीन्वरान्वृणीष्व ।। 1.1.9 ।।"
Brihadaranyaka Upanishad,"तेनेयं त्रयी विद्या वर्तत ओमित्याश्रावयत्योमिति श , सत्योमित्युद्गायत्येतस्यैवाक्षरस्यापचित्यै महिम्ना रसेन ।। 1.1.9 ।।"
Karika Upanishad,इच्छामात्रं प्रभोः सृष्टिरिति सृष्टौ विनिश्चिताः ।कालात्प्रसूतिं भूतानां मन्यन्ते कालचिन्तकाः ।। 1.1.8 ।।
Mandukya Upanishad,जागरितस्थानो वैश्वानरोऽकारः प्रथमा मात्राऽऽप्तेरादिमत्त्वाद्वाऽऽप्नोति ह वै सर्वान्कामानादिश्च भवति य एवं वेद।। 1.1.9 ।।
Isavasya Upanishad,"अन्धं तमः प्रविशन्ति ये़ऽविद्यामुपासते ।,ततो भूय इव ते तमो य उ विद्याया्ँरताः ।। 1.1.9 ।।"
Kena Upanishad,"यत्प्राणेन न प्राणिति येन प्राणः प्राणीयते ।,तदेव ब्रह्म त्वं विद्धि नेदं यदिदमुपासते ।। 1.1.9 ।।,।। इति प्रथमः खण्डः ।।, , "
Svetashvatra Upanishad,"ज्ञाज्ञौ द्वावजावीशानीशावजा ह्येका भोक्तृभोग्यार्थयुक्ता।,अनन्तश्चात्मा विश्वरूपो ह्यकर्ता त्रयं यदा विन्दते ब्रह्ममेतत्।।1.1.9।।"
Prasna Upanishad,"विश्वरूपं हरिणं जातवेदसं परायणं ज्योतिरेकं तपन्तम्।,सहस्ररश्मिः शतधा वर्तमानः प्राणः प्रजानामुदयत्येष सूर्यः।।1.1.8।।"
Taittiriya Upanishad,"अथाध्यात्मम्। अधरा हनुः पूर्वरूपम्। उत्तरा हनुरुत्तररूपम्। वाक् सन्धिः। जिह्वा सन्धानम्। इत्यध्यात्मम्। इतीमा , महासँ् हिताः।।1.3.6।।"
Aitereya Upanishad,स ईक्षतेमे नु लोकाश्च लोकपालाश्चान्नमेभ्यः सृजा इति।।1.3.1।।
Mundaka Upanishad,तपयः सर्वज्ञः सर्वविद्यस्यज्ञानमयं तपः। तस्मादेतद्ब्रह्म नाम रूपमन्नं च जायते।।1.1.9।।
Katha Upanishad,"शान्तसङ्कल्पः सुमना यथा स्याद्वीतमन्युर्गौतमो माऽभि मृत्यो ।,त्वत्प्रसृष्टं माऽभिवदेत्प्रतीत एतत् त्रयाणां प्रथमं वरं वृणे ।। 1.1.10 ।।"
Brihadaranyaka Upanishad,तेनोभौ कुरुतो यश्चैतदेवं वेद यश्च न वेद ।  नाना तु विद्या चाविद्या च यदेव विद्यया करोति श्रद्धयोपनिषदा तदेव वीर्यवत्तरं भवतीति खल्वेतस्यैवाक्षरस्योपव्याखयानं भवति ।। 1.1.10 ।। इति प्रथमः खण्डः ।। 1 ।।  
Karika Upanishad,भोगार्थं सृष्टिरित्यन्ये क्रीडार्थमिति चापरे ।देवस्यैष स्वभावोऽयमाप्तकामस्य का स्पृहा ।। 1.1.9 ।।  इति
Mandukya Upanishad,स्वप्नस्थानस्तैजस उकारो द्वितीया मात्रोत्कर्षादुभयत्वाद्वोत्कर्षति ह वै ज्ञानसंततिं समानश्च भवति नास्याब्रह्मवित्कुले भवति य एवं वेद ।। 1.1.10 ।। 
Isavasya Upanishad,"अन्यदेवाहुर्विद्ययाऽन्यदाहुरविद्यया ।,इति शुश्रुम धीराणां ये नस्तद्विचचक्षिरे ।। 1.1.10 ।।"
Kena Upanishad,"द्वितीयः खण्डः,यदि मन्यसे सुवेदेति दभ्रमेवापि नूनं त्वं वेत्थ ब्रह्मणो रूपं ।,यदस्य त्वं यदस्य च देवेष्वथ नु मीमांस्यमेव ते मन्ये विदितम् ।। 2.1.1 ।।"
Svetashvatra Upanishad,"क्षरं प्रधानममृताक्षरं हरः क्षरात्मानावीशते देव एकः।,तस्याभिध्यानाद्योजनात्तत्त्वभावाद्भूयश्चान्ते विश्वमायानिवृत्तिः।।1.1.10।।"
Taittiriya Upanishad,य एवमेता महास्ँहिता व्याख्याता वेद। संधीयते प्रजया पशुभिः। ब्रह्मवर्चसेनान्नाद्येन सुवर्ग्येण लोकेन। (संधिराचार्यः पूर्वरूपमित्यधिप्रजं लोकेन)।।1.3.7।।
Prasna Upanishad,संवत्सरो वै प्रजापतिस्तस्यायने दक्षिणं चोत्तरं च। तद्ये ह वै तदिष्टापूर्ते कृतमित्युपासते ते चान्द्रमसमेव लोकमभिजयन्ते। त एव पुनरावर्तन्ते तस्मादेत ऋषयः प्रजाकामा दक्षिणं प्रतिपद्यन्ते। एष ह वै रयिर्यः पितृयाणः।।1.1.9।।
Aitereya Upanishad,सोऽपोऽभ्यतपत्ताभ्योऽभितप्ताभ्यो मूर्तिरजायत। या वै सा मूर्तिरजायतान्नं वै तत्।।1.3.2।।
Brihadaranyaka Upanishad,देवासुरा ह वै यत्र संयेतिर उभये प्राजापत्यास्तद्ध देवा उद्गीथमाजह्रुरनेनैनानभिभविष्याम इति ।। 1.2.1 ।। 
Mundaka Upanishad,तदेतत्सत्यं मन्त्रेषु कर्माणि कवयो यान्यपश्यंस्तानि त्रेतायां बहुधा संततानि। तान्याचरथ नियतं सत्यकामा एष वः पन्थाः सुकृतस्य लोके।।1.2.1।।
Katha Upanishad,"यथा पुरस्ताद् भविता प्रतीत औद्दालकिरारुणिर्मत्प्रसृष्टः ।,सुख्ँरात्रीः शयिता वीतमन्युस्त्वां ददृशिवान् मृत्युमुखात् प्रमुक्तम् ।। 1.1.11 ।।"
Karika Upanishad,निवृत्तेः सर्वदुःखानामीशानः प्रभुरव्ययः ।अद्वैतः सर्वभावानां देवस्तुर्यो विभुः स्मृतः ।। 1.1.10 ।।
Mandukya Upanishad,सुषुप्तस्थानः प्राज्ञो मकारस्तृतीया मात्रा मितेरपीतेर्वा मिनोति ह वा इद्ँ सर्वमपीतिश्च भवति य एवं वेद ।। 1.1.11 ।। 
Isavasya Upanishad,"विद्यां चाविद्यां च यस्तद्वेदोभयँ् सह ।,अविद्यया मृत्युं तीर्त्वा विद्ययाऽमृतमश्नुते ।। 1.1.11 ।।"
Kena Upanishad,"नाहं मन्ये सुवेदेति नो न वेदेति वेद च ।,यो नस्तद्वेद तद्वेद नो न वेदेति वेद च ।। 2.1.2 ।।"
Svetashvatra Upanishad,"ज्ञात्वा देवं सर्वपाशापहानिः क्षीणैः क्लेशैर्जन्ममृत्युप्रहाणिः।,तस्याभिध्यानात्तृतीयं देहभेदे विश्वैश्वर्यं केवल आप्तकामः।।1.1.11।।"
